SIFRA,NAZIV,commuting_self_flow,commuting_dominant_external_dest,commuting_dominant_external_flow,commuting_is_centre,commuting_ultimate_centre,huff_majority_centre_name,huff_majority_centre,agreement,pattern
104,Ribnica,2108.0,61,1166.0,True,104,Ljubljana,61,0,"Pattern 2: Commuting self, Huff external"
107,Rogatec,337.0,106,401.0,False,106,Rogaška Slatina,106,1,Agree
109,Semič,485.0,85,302.0,True,109,Črnomelj,17,0,"Pattern 2: Commuting self, Huff external"
110,Sevnica,3430.0,61,1128.0,True,110,Sevnica,110,1,Agree
111,Sežana,3108.0,61,647.0,True,111,Sežana,111,1,Agree
113,Slovenska Bistrica,4963.0,70,2219.0,True,113,Slovenska Bistrica,113,1,Agree
114,Slovenske Konjice,3090.0,144,981.0,True,114,Slovenske Konjice,114,1,Agree
119,Šentjernej,968.0,85,1288.0,False,85,Novo mesto,85,1,Agree
123,Škofljica,983.0,61,3346.0,False,61,Ljubljana,61,1,Agree
124,Šmarje pri Jelšah,1212.0,11,958.0,True,124,Šmarje pri Jelšah,124,1,Agree
55,Kungota,354.0,70,905.0,False,70,Maribor,70,1,Agree
56,Kuzma,94.0,80,118.0,False,80,Kuzma,56,0,"Pattern 1: Huff self, Commuting external"
7,Brda,607.0,84,728.0,False,84,Nova Gorica,84,1,Agree
11,Celje,11820.0,61,2863.0,True,11,Celje,11,1,Agree
16,Črna na Koroškem,320.0,74,303.0,True,16,Črna na Koroškem,16,1,Agree
22,Dol pri Ljubljani,513.0,61,1712.0,False,61,Ljubljana,61,1,Agree
58,Lenart,1056.0,70,1028.0,True,58,Maribor,70,0,"Pattern 2: Commuting self, Huff external"
61,Ljubljana,105397.0,23,1542.0,True,61,Ljubljana,61,1,Agree
65,Loška dolina,770.0,13,232.0,True,65,Ljubljana,61,0,"Pattern 2: Commuting self, Huff external"
70,Maribor,29504.0,61,3985.0,True,70,Maribor,70,1,Agree
71,Medvode,1933.0,61,3643.0,False,61,Ljubljana,61,1,Agree
72,Mengeš,982.0,61,1620.0,False,61,Ljubljana,61,1,Agree
77,Moravče,512.0,61,959.0,False,61,Ljubljana,61,1,Agree
78,Moravske Toplice,506.0,80,880.0,False,80,Murska Sobota,80,1,Agree
79,Mozirje,445.0,83,318.0,True,79,Mozirje,79,1,Agree
23,Domžale,5181.0,61,7602.0,False,61,Domžale,23,0,"Pattern 1: Huff self, Commuting external"
195,Apače,261.0,29,275.0,False,29,Maribor,70,0,"Pattern 3: both external, different centre"
179,Sodražica,242.0,61,260.0,False,61,Ljubljana,61,1,Agree
164,Komenda,801.0,61,1177.0,False,61,Komenda,164,0,"Pattern 1: Huff self, Commuting external"
178,Selnica ob Dravi,348.0,70,846.0,False,70,Maribor,70,1,Agree
84,Nova Gorica,7229.0,183,2035.0,True,84,Nova Gorica,84,1,Agree
2,Beltinci,689.0,80,1175.0,False,80,Murska Sobota,80,1,Agree
12,Cerklje na Gorenjskem,1072.0,61,854.0,True,12,Cerklje na Gorenjskem,12,1,Agree
54,Krško,5824.0,61,1193.0,True,54,Krško,54,1,Agree
64,Logatec,2627.0,61,2400.0,True,64,Ljubljana,61,0,"Pattern 2: Commuting self, Huff external"
59,Lendava,1904.0,61,517.0,True,59,Lendava,59,1,Agree
60,Litija,2065.0,61,3156.0,False,61,Ljubljana,61,1,Agree
183,Šempeter-Vrtojba,929.0,84,893.0,True,183,Šempeter-Vrtojba,183,1,Agree
142,Zagorje ob Savi,2718.0,61,2143.0,True,142,Ljubljana,61,0,"Pattern 2: Commuting self, Huff external"
13,Cerknica,2255.0,61,1400.0,True,13,Cerknica,13,1,Agree
20,Dobrepolje,441.0,61,724.0,False,61,Ljubljana,61,1,Agree
140,Vrhnika,2442.0,61,3734.0,False,61,Vrhnika,140,0,"Pattern 1: Huff self, Commuting external"
57,Laško,1974.0,11,1196.0,True,57,Laško,57,1,Agree
68,Lukovica,590.0,61,1055.0,False,61,Ljubljana,61,1,Agree
208,Log-Dragomer,278.0,61,947.0,False,61,Ljubljana,61,1,Agree
209,Rečica ob Savinji,232.0,83,255.0,False,83,Rečica ob Savinji,209,0,"Pattern 1: Huff self, Commuting external"
211,Šentrupert,321.0,130,197.0,True,211,Šentrupert,211,1,Agree
212,Mirna,313.0,130,256.0,True,212,Trebnje,130,0,"Pattern 2: Commuting self, Huff external"
4,Bohinj,1187.0,61,302.0,True,4,Bohinj,4,1,Agree
