Village_ID,Village_Name,ml_dominant_muni,ml_dominant_Pij,ahp_dominant_muni,ahp_dominant_Pij,ahp_dominant_dist_m,agreement
10114969,Kokarje,Nazarje,0.3509758064095066,Nazarje,0.2683250599284391,3529.9823731747933,1
10114977,Konjski Vrh,Kamnik,0.04026752293882582,Ljubljana,0.1870953605902366,7814.920927316674,0
10114985,Krnica,Kamnik,0.08069800528212655,Ljubljana,0.1839949370914689,3339.323326612253,0
10114993,Lačja vas,Nazarje,0.31258030992987496,Rečica ob Savinji,0.2447595063257029,2953.7816461245584,0
10115019,Lenart pri Gornjem Gradu,Gornji Grad,0.3024390524011515,Gornji Grad,0.3616969260267242,2733.063394285195,1
10115027,Lepa Njiva,Velenje,0.14003406600033147,Velenje,0.1617446062257057,6173.002236477559,1
10115035,Ljubija,Mozirje,0.6927580551257785,Mozirje,0.6578889636863122,1401.7653884870108,1
10115043,Ljubno ob Savinji,Ljubno,0.9935798737827862,Ljubno,0.9999994739778052,0.0,1
10115051,Logarska Dolina,Solčava,0.039332541758103134,Ljubljana,0.1952638425773261,6861.933550465516,0
10115060,Loke pri Mozirju,Mozirje,0.5704813010773454,Mozirje,0.5255471494011146,1744.984845936013,1
10115078,Luče,Luče,0.994201249579843,Luče,0.9999989742669644,0.0,1
10115086,Meliše,Kamnik,0.10548855161575574,Ljubljana,0.1172823032272982,5657.626162989456,0
10115094,Mozirje,Mozirje,0.9895259932192617,Mozirje,0.9999997005176682,0.0,1
10115108,Nazarje,Nazarje,0.9912829193223374,Nazarje,0.9999997131354408,0.0,1
10115116,Nizka,Rečica ob Savinji,0.6227434263904899,Rečica ob Savinji,0.5701555882413266,1423.2287264717106,1
10115124,Okonina,Rečica ob Savinji,0.11050579453702918,Rečica ob Savinji,0.1371415081349761,4835.440825439597,1
10115132,Planina,Celje,0.034134412318791406,Ljubljana,0.1627140668067764,8110.690567556443,0
10115159,Podolševa,Solčava,0.07076145434891443,Ljubljana,0.1794190174263918,5039.549664437873,0
10115167,Podveža,Kamnik,0.1064260920455793,Ljubljana,0.2189030814647983,5017.206342382604,0
10115175,Podvolovljek,Kamnik,0.1968738941854974,Ljubljana,0.2526110459415621,7579.9839426403505,0
10115183,Poljane,Rečica ob Savinji,0.6331440744626714,Rečica ob Savinji,0.65180130338784,1346.5130923474228,1
10115191,Potok,Nazarje,0.21180903577842958,Rečica ob Savinji,0.171847702505648,4084.629199891897,0
10115205,Prihova,Nazarje,0.5386727710278221,Nazarje,0.4018736169244165,1747.4774856316085,1
10115213,Primož pri Ljubnem,Ljubno,0.04154522263811052,Ljubljana,0.1481949404130922,5316.18679156792,0
10115221,Pusto Polje,Nazarje,0.20534708115799336,Rečica ob Savinji,0.1658174021373819,4155.373171855378,0
10115230,Radegunda,Mozirje,0.32959227782538597,Mozirje,0.2451186229788311,3961.3766167309977,1
10115248,Radmirje,Ljubno,0.10680442941753138,Ljubljana,0.1228338693297056,3508.9050064078583,0
10115256,Raduha,Kamnik,0.07039660441046716,Ljubljana,0.1940862113549877,4352.603251755454,0
10115264,Rečica ob Savinji,Rečica ob Savinji,0.9884081126016107,Rečica ob Savinji,0.999999628439516,0.0,1
10115272,Robanov Kot,Solčava,0.1426529968875432,Ljubljana,0.1744104029052628,3257.588167793091,0
10115299,Rovt pod Menino,Vransko,0.07616238063005548,Ljubljana,0.1309545081074991,6771.401108313436,0
10115302,Savina,Ljubno,0.10826931955030097,Ljubno,0.1471839470520211,3477.9351561986205,1
10115329,Solčava,Solčava,0.993286687141173,Solčava,0.9999995328549436,0.0,1
10115337,Spodnja Rečica,Rečica ob Savinji,0.6246331009459258,Rečica ob Savinji,0.5023584023235713,1396.8930609627705,1
10115345,Spodnje Kraše,Rečica ob Savinji,0.08884013673952362,Nazarje,0.115136387878827,5830.557269413644,0
10115353,Spodnje Pobrežje,Rečica ob Savinji,0.31005887101691176,Rečica ob Savinji,0.2828233219046498,2805.1995958518514,1
10115361,Strmec,Ljubljana,0.033882408156486306,Ljubljana,0.1893303978030911,8629.95374972893,1
10115370,Šentjanž,Rečica ob Savinji,0.31005887101691176,Rečica ob Savinji,0.3061422609625108,2815.5089554812307,1
10115388,Šmartno ob Dreti,Kamnik,0.08228341339459497,Ljubljana,0.1147668825451084,7265.135806416706,0
10115396,Šmihel nad Mozirjem,Velenje,0.1359165782372531,Velenje,0.1158471887129013,8321.250064426496,1
10115418,Ter,Ljubno,0.47664180297075665,Ljubno,0.6747314613761127,985.2756441980856,1
10115434,Trnovec,Rečica ob Savinji,0.3667917010936189,Rečica ob Savinji,0.345541731118573,2321.308183996177,1
10115442,Varpolje,Rečica ob Savinji,0.4365555345674243,Rečica ob Savinji,0.4230747268427674,2067.33400348003,1
10115469,Volog,Kamnik,0.08061570384131361,Ljubljana,0.1223931903752586,6891.463847295453,0
10115477,Zavodice,Nazarje,0.5125536662950059,Nazarje,0.5236729662035979,1987.8763064832144,1
10115485,Zgornje Pobrežje,Rečica ob Savinji,0.2298146156295254,Rečica ob Savinji,0.2257672906488461,3394.449914817876,1
10115493,Žlabor,Nazarje,0.6772067090262475,Nazarje,0.6782927383908987,1158.667970171159,1
10115507,Adrijanci,Gornji Petrovci,0.2496971149229315,Gornji Petrovci,0.3630163907841783,3273.811727940776,1
10115515,Andrejci,Murska Sobota,0.2522733378339697,Murska Sobota,0.4509041193235361,6608.257065088286,1
10115523,Bakovci,Murska Sobota,0.5154966852142289,Murska Sobota,0.645956844581943,5658.941000619259,1
10115531,Beltinci,Beltinci,0.992512602995156,Beltinci,0.9999997031745244,0.0,1
10115540,Berkovci,Murska Sobota,0.18654273980217656,Murska Sobota,0.257474228937843,10153.93842656582,1
10115558,Beznovci,Murska Sobota,0.17694949521575531,Murska Sobota,0.3251336855611096,5720.565385916048,1
10115566,Bodonci,Murska Sobota,0.18569646963149924,Murska Sobota,0.363091357407058,6788.455466872266,1
10115574,Bogojina,Moravske Toplice,0.27800061575621254,Murska Sobota,0.3203369491707885,5908.745792089885,0
10115582,Bokrači,Murska Sobota,0.22890030492272134,Murska Sobota,0.4437059907194575,5907.887594221299,1
10115604,Boreča,Murska Sobota,0.15539637762021108,Murska Sobota,0.201395407937483,6249.525189869005,1
10115612,Borejci,Murska Sobota,0.41713783576905633,Murska Sobota,0.6426849335091626,3505.5208407851906,1
10115639,Bratonci,Murska Sobota,0.3655375800367961,Murska Sobota,0.3634736745584189,2534.8478246718983,1
10115647,Brezovci,Murska Sobota,0.3480804373978115,Murska Sobota,0.5139405669826003,3821.015712854391,1
10115655,Budinci,Murska Sobota,0.07388972796804595,Murska Sobota,0.1572557491436678,7646.864887656169,1
10115663,Bukovnica,Murska Sobota,0.15096327357835876,Murska Sobota,0.2645165384894565,5822.092235954675,1
10115671,Cankova,Cankova,0.9864675454104733,Cankova,0.999999694319688,0.0,1
10115680,Čepinci,Murska Sobota,0.10670734909001857,Murska Sobota,0.1672524209002056,7760.858603542322,1
10115698,Černelavci,Murska Sobota,0.708826440255643,Murska Sobota,0.8789821215106224,2956.2860927207494,1
10115701,Čikečka vas,Murska Sobota,0.18845135156028445,Murska Sobota,0.2295225359631262,7497.432767413784,1
10115710,Dankovci,Murska Sobota,0.18584518403668465,Murska Sobota,0.3823459724483295,7194.423760930905,1
10115728,Dokležovje,Murska Sobota,0.34220487937119815,Murska Sobota,0.4246183575908262,3731.9073928282314,1
10115736,Dolenci,Šalovci,0.11672942410441761,Šalovci,0.2133610673646541,4585.247444027291,1
10115744,Dolič,Kuzma,0.43309107949606795,Kuzma,0.3028263569064606,1085.8876891340533,1
10115752,Dolina,Murska Sobota,0.23546339635001384,Murska Sobota,0.4250509919100794,5336.047599306346,1
10115779,Dolnji Slaveči,Murska Sobota,0.16296357548649862,Rogašovci,0.2521814161378661,3817.515716987184,0
10115787,Domajinci,Cankova,0.21866308088894168,Murska Sobota,0.2332630196000692,3438.662381181134,0
