Village_ID,Village_Name,euclidean_dominant_muni,euclidean_dominant_Pij,euclidean_dominant_dist_m,network_dominant_muni,network_dominant_Pij,network_dominant_dist_m,agreement,SIFRA,home_region
10097126,Jasen,Ilirska Bistrica,0.9527423309831771,1306.4838307457157,Ilirska Bistrica,0.918516678883452,2351.064279356044,1,38,Ilirska Bistrica
10142369,Dolnje Prapreče,Trebnje,0.21163206816269575,6324.871540197477,Trebnje,0.1984381907527293,8483.523882598014,1,130,Trebnje
10142598,Gorenji Podboršt pri V. Loki,Trebnje,0.39216237062374915,4190.4295722515135,Trebnje,0.3557267721519441,6011.657560412789,1,130,Trebnje
10129346,Gornje Orle,Sevnica,0.5332427853864948,3618.853409576022,Sevnica,0.3223771890776681,7575.26341084539,1,110,Sevnica
10136105,Turno,Šentjur,0.2754075652092643,5317.5276209907925,Šentjur,0.3094577087354019,6468.968950608859,1,120,Šentjur
10133653,Spodnja Ložnica,Slovenska Bistrica,0.6203854671849051,2957.786334406189,Slovenska Bistrica,0.5752296855847994,3990.144999506596,1,113,Slovenska Bistrica
10134340,Koble,Slovenske Konjice,0.1975963111794637,6735.176315435254,Slovenske Konjice,0.2029467217766099,8351.153963360386,1,114,Slovenske Konjice
10114730,Svržaki,Metlika,0.9507386770963396,805.2949770115296,Metlika,0.959271310115628,982.853211712109,1,73,Metlika
10085489,Ponikve,Brežice,0.4956256965320675,7587.206336985966,Brežice,0.3875679380248415,12936.046697439451,1,9,Brežice
10111790,Karlovica,Ljubljana,0.24021581641140044,28316.52099040417,Ljubljana,0.3040619005196731,5731.355858507816,1,134,Velike Lašče
10099692,Gorenje,Kočevje,0.7347473021803907,3102.144419591067,Kočevje,0.7108694863388636,4140.988618975466,1,48,Kočevje
10104432,Ivandol,Krško,0.6254456718607463,4245.023085920735,Krško,0.5004484874116134,7346.889678144907,1,54,Krško
10133696,Spodnje Prebukovje,Slovenska Bistrica,0.48299148968261396,3779.272416749023,Slovenska Bistrica,0.5151816913181425,4960.616733612497,1,113,Slovenska Bistrica
10133629,Slovenska Bistrica,Slovenska Bistrica,1.0,0.0,Slovenska Bistrica,0.9999999511595684,0.0,1,113,Slovenska Bistrica
10138922,Jerovska vas,Šmarje pri Jelšah,0.2229157307361193,4676.438922941259,Rogaška Slatina,0.1768283839188465,7280.911939414543,0,124,Šmarje pri Jelšah
10138353,Beli Potok pri Lembergu,Šmarje pri Jelšah,0.2201078598969073,4667.429699524139,Rogaška Slatina,0.2027987527904714,7511.336685736812,0,124,Šmarje pri Jelšah
10139597,Rjavica,Rogaška Slatina,0.8350336759801361,2023.5859260234047,Rogaška Slatina,0.7741001947986587,3076.6385204331214,1,106,Rogaška Slatina
10138752,Gorjane,Krško,0.20442585735801203,10176.596729752044,Krško,0.1846616181770365,7380.870693868905,1,51,Kozje
10089735,Pobrežje,Črnomelj,0.2791477065515117,10317.407620134041,Črnomelj,0.3017495757345528,12953.325913491608,1,17,Črnomelj
10090296,Velika sela,Črnomelj,0.30075402363528725,9996.304317096394,Črnomelj,0.3045521010462692,12844.18713668803,1,17,Črnomelj
