Village_ID,Village_Name,ml_dominant_muni,ml_dominant_Pij,huff_dominant_muni,huff_dominant_Pij,agreement,agreement_label
10139902,Šentvid pri Grobelnem,Šentjur,0.3253362857738374,Šmarje pri Jelšah,0.2509493511894366,0,Huff and ML disagree
10139929,Šerovo,Rogaška Slatina,0.3068357402954437,Šmarje pri Jelšah,0.3485782744861761,0,Huff and ML disagree
10139937,Škofija,Rogaška Slatina,0.2630379257221699,Šmarje pri Jelšah,0.237395045257688,0,Huff and ML disagree
10139945,Šmarje pri Jelšah,Šmarje pri Jelšah,0.9934641788124473,Šmarje pri Jelšah,1.0,1,Huff and ML agree
10139953,Tekačevo,Rogaška Slatina,0.7556390222094785,Rogaška Slatina,0.8551951506617463,1,Huff and ML agree
10139961,Tlake,Rogaška Slatina,0.32475326532321774,Rogaška Slatina,0.299916758955912,1,Huff and ML agree
10139970,Topole,Rogaška Slatina,0.7703378477706372,Rogaška Slatina,0.8927335688089508,1,Huff and ML agree
10139988,Topolovec,Rogaška Slatina,0.3062345577787794,Rogaška Slatina,0.2200331566945863,1,Huff and ML agree
10139996,Topolovo,Celje,0.06344762761531472,Celje,0.0852024284419942,1,Huff and ML agree
10140005,Trebče,Krško,0.060007340323260855,Krško,0.0994856369981632,1,Huff and ML agree
10140013,Trlično,Rogaška Slatina,0.16624169264147523,Rogaška Slatina,0.2119441816428466,1,Huff and ML agree
10140021,Tržišče,Rogaška Slatina,0.71168266166868,Rogaška Slatina,0.7656005800603802,1,Huff and ML agree
10140030,Tuncovec,Rogaška Slatina,0.6945796660121304,Rogaška Slatina,0.7432114025426935,1,Huff and ML agree
10140048,Velike Rodne,Rogaška Slatina,0.7156224759717594,Rogaška Slatina,0.7940807823510311,1,Huff and ML agree
10140056,Verače,Podčetrtek,0.114107242126292,Podčetrtek,0.1398407129023553,1,Huff and ML agree
10140064,Vetrnik,Kozje,0.09895987659013293,Krško,0.1482352370937115,0,Huff and ML disagree
10140072,Vidovica,Rogaška Slatina,0.4067313687807675,Rogaška Slatina,0.4546609078013343,1,Huff and ML agree
10140099,Vinec,Rogaška Slatina,0.6145338133769591,Rogaška Slatina,0.6961921831751926,1,Huff and ML agree
10140102,Sveti Štefan,Šentjur,0.1323136498964051,Šmarje pri Jelšah,0.2082771790455489,0,Huff and ML disagree
10140129,Vinski Vrh pri Šmarju,Šmarje pri Jelšah,0.632178637346424,Šmarje pri Jelšah,0.7876961897796877,1,Huff and ML agree
10140137,Virštanj,Podčetrtek,0.1524029469910322,Podčetrtek,0.2098633818265867,1,Huff and ML agree
10140145,Vodenovo,Šmarje pri Jelšah,0.33562918596143354,Šmarje pri Jelšah,0.4336988637329378,1,Huff and ML agree
10140153,Vojsko,Krško,0.14500919566669537,Krško,0.2141697271202082,1,Huff and ML agree
10140161,Vonarje,Rogaška Slatina,0.3524203537841996,Rogaška Slatina,0.3126334185236307,1,Huff and ML agree
10140170,Vrenska Gorca,Kozje,0.12180740286955516,Kozje,0.1496444467438475,1,Huff and ML agree
10140188,Vrh,Šmarje pri Jelšah,0.3692586714463464,Šmarje pri Jelšah,0.4674768217693225,1,Huff and ML agree
10140196,Vršna vas,Rogaška Slatina,0.1769936738857904,Šmarje pri Jelšah,0.2370755357163188,0,Huff and ML disagree
10140200,Zadrže,Šmarje pri Jelšah,0.7418062647923123,Šmarje pri Jelšah,0.8718707699632365,1,Huff and ML agree
10140218,Zagaj,Bistrica ob Sotli,0.34413736653093835,Bistrica ob Sotli,0.1833293429300598,1,Huff and ML agree
10140226,Zagaj pod Bočem,Rogaška Slatina,0.6161325143672842,Rogaška Slatina,0.6757847436255939,1,Huff and ML agree
10140234,Zagorje,Celje,0.07451300080039364,Celje,0.0812082551683149,1,Huff and ML agree
10140242,Zastranje,Šmarje pri Jelšah,0.6257464941104414,Šmarje pri Jelšah,0.754882607986124,1,Huff and ML agree
10140269,Završe pri Grobelnem,Šentjur,0.38612104268797154,Šentjur,0.2968971999596368,1,Huff and ML agree
10140277,Zdole,Kozje,0.2654975203500112,Kozje,0.3192683253584761,1,Huff and ML agree
10140285,Zeče pri Bučah,Kozje,0.15277804210523455,Kozje,0.1841872592051515,1,Huff and ML agree
10140293,Zgornja Kostrivnica,Rogaška Slatina,0.48140847741433374,Rogaška Slatina,0.4599203651833491,1,Huff and ML agree
10140307,Zgornje Negonje,Rogaška Slatina,0.3779097528254397,Rogaška Slatina,0.4321488118354963,1,Huff and ML agree
10140315,Zgornje Sečovo,Rogaška Slatina,0.5995124379816865,Rogaška Slatina,0.665624312958422,1,Huff and ML agree
10140323,Zgornje Tinsko,Rogaška Slatina,0.11995934860405817,Rogaška Slatina,0.1300370632187924,1,Huff and ML agree
10140331,Zgornji Gabernik,Rogaška Slatina,0.3750461542013983,Rogaška Slatina,0.3203539206708282,1,Huff and ML agree
10140340,Zibika,Rogaška Slatina,0.21872998568674723,Šmarje pri Jelšah,0.1627359704445439,0,Huff and ML disagree
10140358,Zibiška vas,Rogaška Slatina,0.2525613776339298,Rogaška Slatina,0.1726092751074152,1,Huff and ML agree
10140366,Žahenberc,Rogaška Slatina,0.25609410405828703,Rogaška Slatina,0.2453444643424656,1,Huff and ML agree
10140374,Avsa,Kobarid,0.11791463891311559,Kobarid,0.2253497975547973,1,Huff and ML agree
10140382,Bača pri Modreju,Tolmin,0.43137809848528186,Tolmin,0.5947758339946138,1,Huff and ML agree
10140404,Bača pri Podbrdu,Ljubljana,0.03342419185413124,Ljubljana,0.2008403038063126,1,Huff and ML agree
10140412,Bavšica,Bovec,0.1506050158534594,Bovec,0.4069417113630311,1,Huff and ML agree
10140439,Borjana,Kobarid,0.12344121848014089,Kobarid,0.2726643417666523,1,Huff and ML agree
10140447,Bovec,Bovec,0.9945775518584297,Bovec,1.0,1,Huff and ML agree
10140455,Breginj,Kobarid,0.03283161374668511,Kobarid,0.1298479410253978,1,Huff and ML agree
10140463,Bukovski Vrh,Tolmin,0.04753420448728936,Ljubljana,0.149690365063322,0,Huff and ML disagree
10140471,Čadrg,Tolmin,0.3414803649648404,Tolmin,0.6127693860651462,1,Huff and ML agree
10140480,Čezsoča,Bovec,0.33370495843330644,Bovec,0.6864350077776341,1,Huff and ML agree
10140498,Čiginj,Tolmin,0.5569844736185634,Tolmin,0.7254199620019591,1,Huff and ML agree
10140501,Daber,Tolmin,0.048178707658456076,Tolmin,0.1561699409644646,1,Huff and ML agree
10140510,Dolenja Trebuša,Tolmin,0.0944825131477757,Tolmin,0.1922222899138962,1,Huff and ML agree
10140528,Dolgi Laz,Tolmin,0.1265490674522858,Tolmin,0.2577501083747896,1,Huff and ML agree
10140536,Dolje,Tolmin,0.7984805810409042,Tolmin,0.9256061006878448,1,Huff and ML agree
10140544,Drežnica,Kobarid,0.21685758860606172,Kobarid,0.3763893058312407,1,Huff and ML agree
