Village_ID,Village_Name,dominant_municipality,dominant_Pij,dominant_dist_m
10115965,Ivanovci,Murska Sobota,0.3742393859883786,7880.947461067717
10107075,Gočova,Lenart,0.2263845939015572,3630.8384901767718
10113253,Bodislavci,Ptuj,0.16300341120769082,4130.2956266986685
10113695,Precetinci,Murska Sobota,0.13229209737023928,6664.459214248037
10093520,Terbegovci,Ptuj,0.1422198376739105,5238.560643410514
10093490,Stavešinski Vrh,Gornja Radgona,0.15010565961638445,6811.66258788642
10114241,Božič Vrh,Novo mesto,0.2913912127831904,10124.314085105229
10091080,Krtina,Domžale,0.4127747263162978,4337.3156192012075
10091225,Negastrn,Ljubljana,0.2899480627263238,3322.503360243975
10147999,Ruperče,Maribor,0.6313511391442166,7687.394532031547
10102987,Olševek,Kranj,0.316971364029888,3265.7918411916303
10137489,Potok,Ljubljana,0.24284047613065488,9143.180737948636
10138205,Zgornja Sorica,Ljubljana,0.22272344169892566,13240.069943929615
10136482,Davča,Ljubljana,0.20667653764486063,13402.01360343765
10130271,Veliki Cirnik,Ljubljana,0.09385171588548742,6310.692078386648
18800942,Marinčev Grič,Ljubljana,0.25272614335291793,7420.145441086622
10148502,Kozjak nad Pesnico,Maribor,0.7636785580259327,5045.32833449321
10124077,Doklece,Ptuj,0.3371617789205636,4886.6973199922095
10125278,Sela,Ptuj,0.5351342413010047,4640.660244292674
10124069,Dobrina,Ptuj,0.23318351752114103,1729.3583326135515
10126070,Zgornje Gruškovje,Ptuj,0.3422655131838291,5795.988144495389
10126045,Spodnje Gruškovje,Ptuj,0.33540495140199234,2289.028151136771
10125260,Sedlašek,Ptuj,0.35140785638958394,4513.66080581772
10120900,Reber,Žužemberk,0.42925198897128114,3175.400814042369
10120063,Lašče,Novo mesto,0.138941067232737,7243.843145050164
10097762,Dovje,Jesenice,0.38954579746997325,9719.675769403582
10116902,Vaneča,Murska Sobota,0.4172329507473261,2936.5610079830567
10140595,Gorenja Trebuša,Nova Gorica,0.147789676394034,21722.58136102436
10117615,Lazna,Nova Gorica,0.26265703282946107,24938.72876853629
10093678,Žihlava,Sveti Jurij ob Ščavnici,0.24762056244679145,3539.1157771866588
10127076,Poljče,Radovljica,0.5156992001347421,4713.377093026865
10126550,Bohinjska Bela,Bled,0.28722373172688526,6067.38668184738
10127718,Kot pri Prevaljah,Ravne na Koroškem,0.2243820493371229,7380.268154500912
10110670,Medno,Ljubljana,0.6215543069186115,3149.7998823357907
10127696,Koprivna,Ljubljana,0.1341951399084371,9487.27122014836
10130662,Dolanci,Ajdovščina,0.19939649883278457,10731.04150911553
10084342,Podraga,Ajdovščina,0.1929258592605741,5837.828066411413
10085586,Silovec,Brežice,0.30199824627753996,11281.721307938698
10134129,Bezina,Slovenske Konjice,0.61733433376611,3074.317450374974
10133521,Prihova,Slovenske Konjice,0.17987120238934726,5092.392719083529
10084563,Vrtovin,Ajdovščina,0.3039624424111818,8445.5007461783
10084270,Otlica,Ljubljana,0.14275451403748088,17338.994357939697
10084156,Kovk,Ljubljana,0.14590720591469666,16231.865311387393
10103614,Zgornja Bela,Kranj,0.3538200146823909,2288.3070609277647
10102499,Breg ob Kokri,Preddvor,0.28088972111707844,1929.777424249707
10132410,Legen,Slovenj Gradec,0.7813609027657835,3521.277063671704
10103355,Strahinj,Naklo,0.46517049421644735,1685.5171775843514
10149061,Činžat,Maribor,0.36264375297628004,5503.72844105133
10107539,Straže,Ptuj,0.2804538283174565,5021.652570056783
10102812,Sveti Lenart,Kamnik,0.2298077161744264,8810.8069038497
10110475,Volavlje,Ljubljana,0.47976127794415563,15522.150195430127
10145635,Kandrše - del,Ljubljana,0.22995185325897424,9586.196908043308
10096367,Gorenji Novaki,Ljubljana,0.20718809426954182,9097.498031692327
10112206,Pijava Gorica,Ljubljana,0.5127126453924332,4421.036529550046
10138116,Zabrekve,Ljubljana,0.24000696659318926,9296.179126218754
10115337,Spodnja Rečica,Rečica ob Savinji,0.5023584023235713,1396.8930609627703
10136130,Vejice,Sevnica,0.10217331092651023,9531.684937692582
10084008,Col,Ajdovščina,0.2800361241391946,9016.44949549543
10131642,Povžane,Hrpelje-Kozina,0.3785683167289892,5961.658256606411
10131154,Kozjane,Ilirska Bistrica,0.12649741517860164,17853.41192343222
10131448,Obrov,Ilirska Bistrica,0.13029974817939527,13440.338838612632
10131006,Javorje,Ilirska Bistrica,0.13782109529481992,15262.801681685683
10136288,Zgornje Selce,Šentjur,0.22188863030907963,7206.9056197316495
10148740,Spodnja Velka,Maribor,0.33334442886589305,7460.485874294591
10092841,Ivanjski Vrh,Cerkvenjak,0.15856923400593975,3954.748318550016
10134544,Paka,Velenje,0.09627437284256939,7699.57532050866
10134684,Vitanjsko Skomarje,Zreče,0.15780060792248632,8139.144123654407
10134455,Ljubnica,Zreče,0.1821572576767951,3986.303812255028
10137284,Na Logu,Ljubljana,0.30148730163873416,8004.305156701091
10138183,Zapreval,Ljubljana,0.2751213225203457,10329.61221190419
10098866,Sovinja Peč,Kamnik,0.24967060012263037,10347.144956524182
10128749,Ravni Dol,Ribnica,0.3135968933858791,4369.250811364599
